eventID,station_name,origin_time,start_time,channel_name,network,sta_longitude,sta_latitude,sta_depth,ev_longitude,ev_latitude,ev_depth,E_P_idx,N_P_idx,Z_P_idx,E_shift(s),N_shift(s),Z_shift(s),sampling_rate,Z_npts,N_npts,E_npts,Z_factor,N_factor,E_factor,epi_dist,hypo_dist,magnitude
13010321.P18,TW.EAS.10.EH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,EHZ(N/E),CWBSN,120.85639953613281,22.381999969482422,-0.445,121.24130249023438,22.865299224853516,8.930000305175781,7213,7213,7213,0.0,0.0,0.0,100.0,36001,36001,36001,8.89e-09,8.89e-09,8.89e-09,66.55929616677841,67.21629666188825,3.85
13010321.P18,TW.EAS.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,120.85639953613281,22.381999969482422,-0.445,121.24130249023438,22.865299224853516,8.930000305175781,7230,7230,7230,0.0,0.0,0.0,100.0,36001,36001,36001,3.12e-06,3.12e-06,3.12e-06,66.55929616677841,67.21629666188825,3.85
13010321.P18,TW.ECB.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,121.45120239257812,23.316299438476562,-0.063,121.24130249023438,22.865299224853516,8.930000305175781,7028,7028,7028,0.0,0.0,0.0,100.0,36001,36001,36001,3.2e-06,3.22e-06,3.21e-06,54.379049026203845,55.11764715119081,3.85
13010321.P18,TW.ECL.10.EH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,EHZ(N/E),CWBSN,120.96199798583984,22.59600067138672,-0.07,121.24130249023438,22.865299224853516,8.930000305175781,6800,6800,6800,0.0,0.0,0.0,100.0,36001,36001,36001,8.89e-09,8.89e-09,8.89e-09,41.38312650140616,42.35048009792273,3.85
13010321.P18,TW.ECL.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,120.96199798583984,22.59600067138672,-0.07,121.24130249023438,22.865299224853516,8.930000305175781,6801,6801,6801,0.0,0.0,0.0,100.0,36001,36001,36001,3.12e-06,3.12e-06,3.12e-06,41.38312650140616,42.35048009792273,3.85
13010321.P18,TW.ECL.10.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(N/E),CWBSN,120.96170043945312,22.595800399780273,-0.101,121.24130249023438,22.865299224853516,8.930000305175781,6788,6788,6788,0.0,0.0,0.0,100.0,36001,36001,36001,3.11e-06,3.1e-06,3.1e-06,41.420314947311574,42.39341289453549,3.85
13010321.P18,TW.ECS.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,121.21920013427734,23.095300674438477,-0.278,121.24130249023438,22.865299224853516,8.930000305175781,6603,6603,6603,0.0,0.0,0.0,100.0,36001,36001,36001,3.25e-06,3.22e-06,3.22e-06,25.57184415390028,27.179155304230505,3.85
13010321.P18,TW.EDH.00.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(1/2),CWBSN,121.30390167236328,22.97249984741211,0.221,121.24130249023438,22.865299224853516,8.930000305175781,6197,6197,6197,0.0,0.0,0.0,100.0,36001,36001,36001,1.48e-09,1.56e-09,1.55e-09,13.497222605537761,16.06305401780718,3.85
13010321.P18,TW.EDH.00.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(1/2),CWBSN,121.30390167236328,22.97249984741211,0.221,121.24130249023438,22.865299224853516,8.930000305175781,6199,6199,6199,0.0,0.0,0.0,100.0,36001,36001,36001,6.45e-06,6.43e-06,6.45e-06,13.497222605537761,16.06305401780718,3.85
13010321.P18,TW.EDH.10.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(N/E),CWBSN,121.30390167236328,22.97249984741211,0.221,121.24130249023438,22.865299224853516,8.930000305175781,6320,6320,6320,0.0,0.0,0.0,100.0,36001,36001,36001,6.38e-06,6.45e-06,6.46e-06,13.497222605537761,16.06305401780718,3.85
13010321.P18,TW.EHD.00.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(1/2),CWBSN,121.20610046386719,23.148799896240234,-0.22239999389648438,121.24130249023438,22.865299224853516,8.930000305175781,6638,6638,6638,0.0,0.0,0.0,100.0,36001,36001,36001,1.46e-09,1.51e-09,1.48e-09,31.602755425381417,32.90137659294718,3.85
13010321.P18,TW.EHD.00.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(1/2),CWBSN,121.20610046386719,23.148799896240234,-0.22239999389648438,121.24130249023438,22.865299224853516,8.930000305175781,6646,6646,6646,0.0,0.0,0.0,100.0,36001,36001,36001,6.37e-06,6.43e-06,6.43e-06,31.602755425381417,32.90137659294718,3.85
